species,class,order,family,chromnum.1n,chromnum.est,chromnum.source,chromnum.database,est.gnsz.Mbp,est.gnsz.source,est.gnsz.db
Coturnix japonica,Aves,Galliformes,Phasianidae,39,NA,"Nakamura, D., T.R. Tiersch, M. Douglass, and R.W. Chandler (1990). Rapid identification of sex in birds by flow cytometry. Cytogenetics and Cell Genetics 53: 201-205.",,1378.98,"Nakamura, D., T.R. Tiersch, M. Douglass, and R.W. Chandler (1990). Rapid identification of sex in birds by flow cytometry. Cytogenetics and Cell Genetics 53: 201-205.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com."
Cricetulus griseus,Mammalia,Rodentia,Cricetidae,11,NA,"Kato, H., M. Harada, K. Tsuchiya, and K. Moriwaki (1980). Absence of correlation between DNA repair in ultraviolet irradiated mammalian cells and life span of the donor species. Japanese Journal of Genetics 55: 99-108.",,NA,,
Crocodylus porosus,Reptilia,Crocodilia,Crocodylidae,17,NA,"Olmo E., Signorino G.G. (2005) ChromoRep: A reptiles chromosomes database.",,NA,NA,NA
Cyanistes caeruleus,Aves,Passeriformes,Paridae,40,NA,Li and Bian 1988; Castroviejo et al. 1969; Jiang et al. 1996; Bulatova 1981,"Degrandi T, M, Barcellos S, A, Costa A, L, Garnero A, D, V, Hass I, Gunski R, J: Introducing the Bird Chromosome Database: An Overview of Cytogenetic Studies in Birds. Cytogenet Genome Res 2020. doi: 10.1159/000507768",NA,NA,NA
Cyclopterus lumpus,Actinopterygii,Scorpaeniformes,Cyclopteridae,25,NA,"Li, M. F., & S. Clyburne. (1977). New Cell Line from the Marine Lumpfish, Cyclopterus lumpus. Journal of the Fisheries Research Board of Canada, 34(1), 134�139. https://doi.org/10.1139/f77-017",,NA,NA,NA
Cynoglossus semilaevis,Actinopterygii,Pleuronectiformes,Cynoglossidae,21,NA,"Wang, X. L., Wang, N., Sha, Z., & Chen, S. L. (2010). Establishment, characterization of a new cell line from heart of half smooth tongue sole (Cynoglossus semilaevis). Fish Physiology and Biochemistry, 36(4), 1181–1189. https://doi.org/10.1007/s10695-010-9396-5",,606,"Wang, X., Zhang, Q., Sun, X., Chen, Y., Zhai, T., Zhuang, W., Qi, J., & Wang, Z. (2008). Fosmid Library Construction and Initial Analysis of End Sequences in Female Half-smooth Tongue Sole (Cynoglossus semilaevis). Marine Biotechnology, 11(2), 236�242. https://doi.org/10.1007/s10126-008-9137-2",
Cyprinodon variegatus,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,24,NA,"Duggins, C. F., Karlin, A. A., & Relyea, K. G. (1983). Electrophoretic Comparison of Cyprinodon variegatus Lacépède and Cyprinodon hubbsi Carr, with Comments on the Genus Cyprinodon (Atheriniformes: Cyprinodontidae). Northeast Gulf Science, 6(2). https://doi.org/10.18785/negs.0602.03",,NA,,
Cyprinus carpio carpio,Actinopterygii,Cypriniformes,Cyprinidae,50,NA,"Hinegardner, R. and D.E. Rosen (1972). Cellular DNA content and the evolution of teleostean fishes. American Naturalist 106: 621-644.",,1682.16,"Collares-Pereira, M.J. and L. Moreira da Costa (1999). Intraspecific and interspecific genome size variation in Iberian Cyprinidae and the problem of diploidy and polyploidy, with review of genome sizes within the family. Folia Zoologica 48: 61-76.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com."
Danio rerio,Actinopterygii,Cypriniformes,Cyprinidae,24,NA,"Hinegardner, R. and D.E. Rosen (1972). Cellular DNA content and the evolution of teleostean fishes. American Naturalist 106: 621-644.",,1643.04,"Ciudad, J., E. Cid, A. Velasco, J.M. Lara, J. Aij�n, and A. Orfao (2002). Flow cytometry measurement of the DNA contents of G0/G1 diploid cells from three different teleost fish species. Cytometry 48: 20-25.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com."
Dasypus novemcinctus,Mammalia,Cingulata,Dasypodidae,32,NA,"Beath, M. M., Benirschke, K., & Brownhill, L. E. (1962). The chromosomes of the nine-banded armadillo, Dasypus novemcinctus. Chromosoma, 13(1), 27�38. https://doi.org/10.1007/bf00349617",,5290.98,"Redi, C.A., H. Zacharias, S. Merani, M. Oliveira-Miranda, M. Aguilera, M. Zuccotti, S. Garagna, and E. Capanna (2005). Genome sizes in Afrotheria, Xenartha, Euarchontoglires, and Laurasiatheria. Journal of Heredity 96: 485-493.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com."
Delphinapterus leucas,Mammalia,Artiodactyla,Monodontidae,22,NA,"Jarrell, G. H., & Árnason, Ú. (2009). Banded karyotypes of a belukha whale, Delphinapterus leucas. Hereditas, 95(1), 37–41. https://doi.org/10.1111/j.1601-5223.1981.tb01326.x",,3471.9,"Oziolor, E. M., T. R. Gregory, J. W. Bickham, J. St. Leger, and C. W. Matson (2019). Cetacean genome size diversity. Marine Mammal Science 35: 1133-1140.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com."
Denticeps clupeoides,Actinopterygii,Clupeiformes,Denticipitidae,NA,NA,,,NA,NA,NA
Dermochelys coriacea,Reptilia,NA,NA,28,NA,"Medrano, L., Dorizzi, M., Rimblot, F., & Pieau, C. (1987). Karyotype of the sea-turtle Dermochelys coriacea (Vandelli, 1761). Amphibia-Reptilia, 8(2), 171-178.",NA,NA,NA,NA
Desmodus rotundus,Mammalia,NA,NA,14,NA,"Redi, C.A., H. Zacharias, S. Merani, M. Oliveira-Miranda, M. Aguilera, M. Zuccotti, S. Garagna, and E. Capanna (2005). Genome sizes in Afrotheria, Xenartha, Euarchontoglires, and Laurasiatheria. Journal of Heredity 96: 485-493.","Gregory, T.R. (2025). Animal Genome Size Database. http://www.genomesize.com.",NA,NA,NA
Dicentrarchus labrax,Actinopterygii,Moroniformes,Moronidae,24,NA,"Arai R. (2011) Fish Karyotypes, Springer.",,762.84,"Peruzzi, S., B. Chatain, and B. Menu (2005). Flow cytometric determination of genome size in European seabass (Dicentrarchus labrax), gilthead seabream (Sparus aurata), thinlip mullet (Liza ramada), and European eel (Anguilla anguilla). Aquatic Living Resources 18: 77-81.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com."
Dipodomys ordii,Mammalia,Rodentia,Heteromyidae,37,NA,"Hatch, F.T., A.J. Bodner, J.A. Mazrimas, and D.H. Moore (1976). Satellite DNA and cytogenetic evolution: DNA quantity, satellite DNA and karyotypic variations in kangaroo rats (Genus Dipodomys). Chromosoma 58: 155-168.",,4616.16,"Hatch, F.T., A.J. Bodner, J.A. Mazrimas, and D.H. Moore (1976). Satellite DNA and cytogenetic evolution: DNA quantity, satellite DNA and karyotypic variations in kangaroo rats (Genus Dipodomys). Chromosoma 58: 155-168.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com."
Dromaius novaehollandiae,Aves,Casuariiformes,Casuariidae,40,NA,"Nakamura, D., T.R. Tiersch, M. Douglass, and R.W. Chandler (1990). Rapid identification of sex in birds by flow cytometry. Cytogenetics and Cell Genetics 53: 201-205.",,1594.14,"Nakamura, D., T.R. Tiersch, M. Douglass, and R.W. Chandler (1990). Rapid identification of sex in birds by flow cytometry. Cytogenetics and Cell Genetics 53: 201-205.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com."
Echeneis naucrates,Actinopterygii,Carangiformes,Echeneidae,NA,24,"Gao, T., Liu, K., Liu, Q., & Wang, D. (2024). An improved chromosome-level genome assembly and annotation of Echeneis naucrates. Scientific Data, 11(1). https://doi.org/10.1038/s41597-024-03309-w",,665.04,"Hardie, D.C. and P.D.N. Hebert (2004).  Genome-size evolution in fishes.  Canadian Journal of Fisheries and Aquatic Sciences 61: 1636-1646.  Click here to download data appendix.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com."
Echinops telfairi,Mammalia,Afrosoricida,Tenrecidae,15,NA,"S�nchez-Jim�nez, I., Hidalgo, O., �ngel Canela, M., Siljak-Yakovlev, S., Edita �oli?, M., Vall�s, J., & Garnatje, T. (2012). Genome size and chromosome number in Echinops (Asteraceae, Cardueae) in the Aegean and Balkan regions: technical aspects of nuclear DNA amount assessment and genome evolution in a phylogenetic frame. Plant Systematics and Evolution, 298(6), 1085�1099. https://doi.org/10.1007/s00606-012-0618-4",,NA,,
Electrophorus electricus,Actinopterygii,Gymnotiformes,Gymnotidae,26,NA,"Fonteles, S. B. A., Lopes, C. E., Akama, A., Fernandes, F. M. C., Porto-Foresti, F., Senhorini, J. A., Daniel-Silva, M. de F. Z., Foresti, F., & de Almeida-Toledo, L. F. (2008). Cytogenetic characterization of the strongly electric Amazonian eel, Electrophorus electricus (Teleostei, Gymnotiformes), from the Brazilian rivers Amazon and Araguaia. 31(1 suppl), 227–230. https://doi.org/10.1590/s1415-47572008000200010",,799,"Cheng, F., Dennis, A. B., Ijeoma Osuoha, J., Canitz, J., Kirschbaum, F., & Tiedemann, R. (2023). A new genome assembly of an African weakly electric fish (Campylomormyrus compressirostris, Mormyridae) indicates rapid gene family evolution in Osteoglossomorpha. BMC Genomics, 24(1). https://doi.org/10.1186/s12864-023-09196-6",
Emys orbicularis,Reptilia,NA,NA,25,NA,"Iannucci, A., Svartman, M., Bellavita, M., Chelazzi, G., Stanyon, R., & Ciofi, C. (2019). Insights into emydid turtle cytogenetics: the European pond turtle as a model species. Cytogenetic and Genome Research, 157(3), 166-171.",NA,NA,NA,NA
Eptatretus burgeri,Myxini,Myxiniformes,Myxinidae,18,NA,"Nakai, Y., S. Kubota, Y. Goto, T. Ishibashi, W. Davison, and S. Kohno (1995). Chromosome elimination in three Baltic, south Pacific and north-east Pacific hagfish species. Chromosome Research 3: 321-330.",,2914.44,"Nakai, Y., S. Kubota, Y. Goto, T. Ishibashi, W. Davison, and S. Kohno (1995). Chromosome elimination in three Baltic, south Pacific and north-east Pacific hagfish species. Chromosome Research 3: 321-330.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com."
Eptesicus fuscus,Mammalia,NA,NA,50,NA,"Manfredi Romanini, M.G., C. Pelliciari, F. Bolchi, and E. Capanna (1975). Données nouvelles sur le contenu en ADN des noyaux postkinétiques chez les chiroptères. Mammalia 39: 675-683.","Gregory, T.R. (2025). Animal Genome Size Database. http://www.genomesize.com.",NA,NA,NA
Equus asinus,Mammalia,Perissodactyla,Equidae,31,NA,"Vialli, M. and G. Gerzeli (1955). Il tenore di acide desossiribonucleico nei linfociti dell'asino, del cavallo e del mulo. Rendiconti Instituto Lombardo Scienze e Lettere, Sezione B 88: 273-281.",,4029.36,"Vialli, M. and G. Gerzeli (1955). Il tenore di acide desossiribonucleico nei linfociti dell'asino, del cavallo e del mulo. Rendiconti Instituto Lombardo Scienze e Lettere, Sezione B 88: 273-281.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com."
Equus caballus,Mammalia,Perissodactyla,Equidae,32,NA,"Tiersch, T.R., R.W. Chandler, S.S. Wachtel, and S. Elias (1989a). Reference standards for flow cytometry and application in comparative studies of nuclear DNA content. Cytometry 10: 706-710.",,3080.7,"Tiersch, T.R., R.W. Chandler, S.S. Wachtel, and S. Elias (1989a). Reference standards for flow cytometry and application in comparative studies of nuclear DNA content. Cytometry 10: 706-710.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com."
Equus przewalskii,Mammalia,NA,NA,33,NA,"Musilova, P., Kubickova, S., Vahala, J., & Rubes, J. (2013). Subchromosomal karyotype evolution in Equidae. Chromosome research, 21, 175-187.",NA,NA,NA,NA
Equus quagga,Mammalia,NA,NA,22,NA,"Allen, W. T., Stansfield, F., & Wilsher, S. (2017). Placentation in the plains zebra (Equus quagga). Reproduction, Fertility and Development, 29(11), 2225-2234.",NA,NA,NA,NA
Erinaceus europaeus,Mammalia,Eulipotyphla,Erinaceidae,24,NA,"Pardo-Manuel de Villena F., Sapienza C. (2001) Female meiosis drives karyotype evolution in mammals. Genetics 159: 1179-1189.",,NA,,
Erpetoichthys calabaricus,Actinopterygii,Polypteriformes,Polypteridae,18,NA,"Hinegardner, R. (1976a). The cellular DNA content of sharks, rays and some other fishes. Comparative Biochemistry and Physiology 55B: 367-370.",,4792.2,"Hinegardner, R. (1976a). The cellular DNA content of sharks, rays and some other fishes. Comparative Biochemistry and Physiology 55B: 367-370.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com."
Erythrura gouldiae,Aves,Passeriformes,Estrildidae,40,NA,"Malinovskaya, L. P., Slobodchikova, A. Y., Grishko, E. O., Pristyazhnyuk, I. E., Torgasheva, A. A., & Borodin, P. M. (2022). Germline-Restricted Chromosomes and Autosomal Variants Revealed by Pachytene Karyotyping of 17 Avian Species. Cytogenetic and Genome Research, 162(3), 148�160. https://doi.org/10.1159/000524681",,NA,NA,NA
Esox lucius,Actinopterygii,Esociformes,Esocidae,25,NA,"Vinogradov, A.E. (1998a). Genome size and GC-percent in vertebrates as determined by flow cytometry: the triangular relationship. Cytometry 31: 100-109.",,1105.14,"Hardie, D.C. and P.D.N. Hebert (2004). Genome-size evolution in fishes. Canadian Journal of Fisheries and Aquatic Sciences 61: 1636-1646.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com."
Falco tinnunculus,Aves,Falconiformes,falconidae,26,NA,"Mingli, W., & Fengying, C. (1998). Study on karyotype of Hobby (Falco subbuteo) and Kestrel (Falco tinnunculus). Journal of Forestry Research, 9(2), 108–110. https://doi.org/10.1007/bf02864996",,2601.48,"Venturini, G., D�Ambrogi, R., & Capanna, E. (1986). Size and structure of the bird genome�I DNA content of 48 species of neognathae. Comparative Biochemistry and Physiology Part B: Comparative Biochemistry, 85(1), 61�65. https://doi.org/10.1016/0305-0491(86)90221-x","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com."
Felis catus,Mammalia,Carnivora,Felidae,19,NA,"Vinogradov, A.E. (1998a). Genome size and GC-percent in vertebrates as determined by flow cytometry: the triangular relationship. Cytometry 31: 100-109.",,2845.98,"Vinogradov, A.E. (1998a). Genome size and GC-percent in vertebrates as determined by flow cytometry: the triangular relationship. Cytometry 31: 100-109.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com."
Ficedula albicollis,Aves,Passeriformes,Muscicapidae,40,NA,"Malinovskaya, L. P., Slobodchikova, A. Y., Grishko, E. O., Pristyazhnyuk, I. E., Torgasheva, A. A., & Borodin, P. M. (2022b). Germline-Restricted Chromosomes and Autosomal Variants Revealed by Pachytene Karyotyping of 17 Avian Species. Cytogenetic and Genome Research, 162(3), 148�160. https://doi.org/10.1159/000524681",,NA,NA,NA
Fukomys damarensis,Mammalia,Rodentia,Bathyergidae,40,NA,"McDonough, M. M., & Soteri-Caio, C. (2019). New Karyotypic Information for Small Mammals from Botswana with Implications for Regional Biogeography. ResearchGate. https://www.researchgate.net/publication/337669462_New_Karyotypic_Information_for_Small_Mammals_from_Botswana_with_Implications_for_Regional_Biogeography",,NA,NA,NA
Fundulus heteroclitus,Actinopterygii,Cyprinodontiformes,Fundulidae,24,NA,"Hinegardner, R. (1968). Evolution of cellular DNA content in teleost fishes. American Naturalist 102: 517-523.",,NA,,
Gadus morhua,Actinopterygii,Gadiformes,Gadidae,23,NA,"Grøsvik, B.E. and A.J. Raae (1992). The genome size and the structure and content of ribosomal RNA genes in Atlantic cod (Gadus morhua L.). Comparative Biochemistry and Physiology 101B: 407-411.",,909.54,"Hardie, D.C. and P.D.N. Hebert (2003). The nucleotypic effects of cellular DNA content in cartilaginous and ray-finned fishes. Genome 46: 683-706.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com."
Gallus gallus,Aves,Galliformes,Phasianidae,39,NA,"Groenen, M. A. M., Crooijmans, R. P. M. A., Veenendaal, A., Cheng, H. H., Siwek, M., & van der Poel, J. J. (1998). A Comprehensive Microsatellite Linkage Map of the Chicken Genome. Genomics, 49(2), 265–274. https://doi.org/10.1006/geno.1998.5225",,1251.84,"Kasai, F., P.C.M. O'Brien, and M.A. Ferguson-Smith (2012). Reassessment of genome size in turtle and crocodile based on chromosome measurement by flow karyotyping: close similarity to chicken. Biology Letters 8: 631-635.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com."
Gambusia affinis,Actinopterygii,Cyprinodontiformes,Poeciliidae,24,NA,"Lamatsch, D.K., C. Steinlein, M. Schmid, and M. Schartl (2000). Noninvasive determination of genome size and ploidy level in fishes by flow cytometry: detection of triploid Poecilia formosa. Cytometry 39: 91-95.",,919.32,"Lamatsch, D.K., C. Steinlein, M. Schmid, and M. Schartl (2000). Noninvasive determination of genome size and ploidy level in fishes by flow cytometry: detection of triploid Poecilia formosa. Cytometry 39: 91-95.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com."
Gasterosteus aculeatus,Actinopterygii,Scorpaeniformes,Gasterosteidae,21,NA,"Hinegardner, R. and D.E. Rosen (1972). Cellular DNA content and the evolution of teleostean fishes. American Naturalist 106: 621-644.",,567.24,"Vinogradov, A.E. (1998a). Genome size and GC-percent in vertebrates as determined by flow cytometry: the triangular relationship. Cytometry 31: 100-109.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com."
Geospiza fortis,Aves,Passeriformes,Thraupidae,40,NA,Jo 1983,"Degrandi T, M, Barcellos S, A, Costa A, L, Garnero A, D, V, Hass I, Gunski R, J: Introducing the Bird Chromosome Database: An Overview of Cytogenetic Studies in Birds. Cytogenet Genome Res 2020. doi: 10.1159/000507768",NA,NA,NA
Gopherus agassizii,Reptilia,Testudines,Testudinidae,26,NA,"Atkin, N.B., G. Mattinson, W. Beçak, and S. Ohno (1965). The comparative DNA content of 19 species of placental mammals, reptiles, and birds. Chromosoma 17: 1-10.",,NA,,
Gopherus evgoodei,Reptilia,Testudines,Testudinidae,26,NA,"Dowler, R. C., & Bickham, J. W. (1982). Chromosomal relationships of the tortoises (family Testudinidae). Genetica, 58(3), 189�197. https://doi.org/10.1007/bf00128013",,2299,"�ilingir, F. G., A�Bear, L., Hansen, D., Davis, L. R., Bunbury, N., Ozgul, A., Croll, D., & Grossen, C. (2022). Chromosome-level genome assembly for the Aldabra giant tortoise enables insights into the genetic health of a threatened population. GigaScience, 11. https://doi.org/10.1093/gigascience/giac090",
Gopherus flavomarginatus,Reptilia,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gorilla gorilla,Mammalia,Primates,Hominidae,24,NA,"Pellicciari, C., E. Ronchetti, D. Formenti, R. Stanyon, and M.G. Manfredi Romanini (1990a). Genome size and ""C-heterochromatic-DNA"" in man and the African apes. Human Evolution 5: 261-267.",,3442.56,"Krishan, A. P. Dandekar, N. Nathan, R. Hamelik, C. Miller, and J. Shaw (2005). DNA index, genome size, and electronic nuclear volume of vertebrates from the Miami Metro Zoo. Cytometry 65A: 26-34.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com."
Gorilla gorilla gorilla,Mammalia,Primates,Hominidae,24,NA,"Pellicciari, C., E. Ronchetti, D. Formenti, R. Stanyon, and M.G. Manfredi Romanini (1990a). Genome size and ""C-heterochromatic-DNA"" in man and the African apes. Human Evolution 5: 261-267.",,3442.56,"Krishan, A. P. Dandekar, N. Nathan, R. Hamelik, C. Miller, and J. Shaw (2005). DNA index, genome size, and electronic nuclear volume of vertebrates from the Miami Metro Zoo. Cytometry 65A: 26-34.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com."
Gouania willdenowi,Actinopterygii,Gobiesociformes,Gobiesocidae,NA,23,"Arai, R. (2011). Fish karyotypes: a check list. Springer Science & Business Media.;Ashman, T. L., Bachtrog, D., Blackmon, H., Goldberg, E. E., Hahn, M. W., Kirkpatrick, M., et al. (2014). Tree of Sex: A database of sexual systems. Scientific Data, 1, 140015.","Rom�n?Palacios, C., Medina, C. A., Zhan, S. H., & Barker, M. S. (2021). Animal chromosome counts reveal a similar range of chromosome numbers but with less polyploidy in animals compared to flowering plants. Journal of Evolutionary Biology, 34(8), 1333�1339. https://doi.org/10.1111/jeb.13884",NA,NA,NA
Haplochromis burtoni,Actinopterygii,Cichliformes,Cichlidae,20,NA,"Lang, M., T. Miyake, I. Braasch, D. Tinnemore, N. Siegel, W. Salzburger, C.T. Amemiya, A. Meyer (2006). A BAC library of the East African haplochromine cichlid fish Astatotilapia burtoni. Journal of Experimental Zoology (Molecular Development and Evolution) 306B: 35-44.",,NA,,
Heterocephalus glaber,Mammalia,Rodentia,Heterocephalidae,30,NA,"Deuve, J. L. (2008). Cytosystematics, Sex Chromosome Translocations and Speciation In African Mole-Rats (Bathyergidae: Rodentia).",,2836.2,"Gallardo, M.H., J.W. Bickham, G. Kausel, N. K�hler, and R.L. Honeycutt (2002). Gradual and quantum genome size shifts in the hystricognath rodents. Journal of Evolutionary Biology 16: 163-169.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com."
Hippocampus comes,Actinopterygii,Syngnathiformes,Syngnathidae,NA,22,"Li, C., Olave, M., Hou, Y., Qin, G., Schneider, R. F., Gao, Z., Tu, X., Wang, X., Qi, F., Nater, A., Kautt, A. F., Wan, S., Zhang, Y., Liu, Y., Zhang, H., Zhang, B., Zhang, H., Qu, M., Liu, S., & Chen, Z. (2021). Genome sequences reveal global dispersal routes and suggest convergent genetic adaptations in seahorse evolution. Nature Communications, 12(1). https://doi.org/10.1038/s41467-021-21379-x",,NA,,
Homo sapiens,Mammalia,Primates,Hominidae,23,NA,"Schoch CL, et al. NCBI Taxonomy: a comprehensive update on curation, resources and tools. Database (Oxford). 2020: baaa062. PubMed: 32761142 PMC: PMC7408187.",,3423,"Schoch CL, et al. NCBI Taxonomy: a comprehensive update on curation, resources and tools. Database (Oxford). 2020: baaa062. PubMed: 32761142 PMC: PMC7408187.",
Hucho hucho,Actinopterygii,Salmoniformes,Salmonidae,41,NA,"Ocalewicz, K., Woznicki, P., & Jankun, M. (2007). Mapping of rRNA genes and telomeric sequences in Danube salmon (Hucho hucho) chromosomes using primed in situ labeling technique (PRINS). Genetica, 134(2), 199�203. https://doi.org/10.1007/s10709-007-9225-7",,NA,,
Ictalurus punctatus,Actinopterygii,Siluriformes,Ictaluridae,28,NA,"Tiersch, T.R., R.W. Chandler, S.S. Wachtel, and S. Elias (1989a). Reference standards for flow cytometry and application in comparative studies of nuclear DNA content. Cytometry 10: 706-710.",,1026.9,"Tiersch, T.R. and C.A. Goudie (1993). Inheritance and variation of genome size in half-sib families of hybrid catfishes. Journal of Heredity 84: 122-125.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com."
Ictidomys tridecemlineatus,Mammalia,Rodentia,Sciuridae,17,NA,"Feldhamer, G. A., Thompson, B. C., & Chapman, J. A. (2003). Wild mammals of North America : biology, management, and conservation. Johns Hopkins University Press.",,NA,NA,NA
Jaculus jaculus,Mammalia,Rodentia,Dipodidae,24,NA,"Ben Faleh, A., Ben Othmen, A., Said, K., & Granjon, L. (2010). Karyotypic Variation in Two Species of Jerboas Jaculus jaculus and Jaculus orientalis (Rodentia, Dipodidae) from Tunisia. Folia Biologica, 58(3), 229�236. https://doi.org/10.3409/fb58_3-4.229-236",,NA,NA,NA
Junco hyemalis,Aves,Passeriformes,Passerellidae,41,NA,Shields 1973; Be�ak et al. 1975,"Degrandi T, M, Barcellos S, A, Costa A, L, Garnero A, D, V, Hass I, Gunski R, J: Introducing the Bird Chromosome Database: An Overview of Cytogenetic Studies in Birds. Cytogenet Genome Res 2020. doi: 10.1159/000507768",1271.4,"Andrews, C.B., S.A. Mackenzie, and T.R. Gregory (2009). Genome size and wing parameters in passerine birds. Proceedings of the Royal Society of London B 276: 55-61.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com."
Knipowitschia caucasica,Actinopterygii,NA,NA,23,NA,"Schoenle, A., Guiglielmoni, N., Mainz, T., Greve, C., Hamadou, A. B., Heermann, L., ... & Waldvogel, A. M. (2024). Chromosome-level genome reference of the Caucasian dwarf goby Knipowitschia cf. caucasica, a new alien Gobiidae invading the River Rhine. Peer Community Journal, 4.",NA,NA,NA,NA
Kryptolebias marmoratus,Actinopterygii,Cyprinodontiformes,Rivulidae,24,NA,"Scheel, J. J. (1972). Rivuline Karyotypes and their Evolution (Rivulinae, Cyprinodontidae, Pisces). Journal of Zoological Systematics & Evolutionary Research, 10(1), 180�209. https://doi.org/10.1111/j.1439-0469.1972.tb00797.x",,755.646977,"Rhee, J.-S., Choi, B.-S., Kim, J., Kim, B.-M., Lee, Y.-M., Kim, I.-C., Kanamori, A., Choi, I.-Y., Schartl, M., & Lee, J.-S. (2017). Diversity, distribution, and significance of transposable elements in the genome of the only selfing hermaphroditic vertebrate Kryptolebias marmoratus. Scientific Reports, 7(1), 40121. https://doi.org/10.1038/srep40121",
Labrus bergylta,Actinopterygii,Labriformes,Labridae,NA,24,"Arai, R. (2011). Fish karyotypes: a check list. Springer Science & Business Media.; Ojima, Y. and K. Yamamoto (1990). Cellular DNA contents of fishes determined by flow cytometry. La Kromosomo II 57: 1871-1888.; Ashman, T. L., Bachtrog, D., Blackmon, H., Goldberg, E. E., Hahn, M. W., Kirkpatrick, M., et al. (2014). Tree of Sex: A database of sexual systems. Scientific Data, 1, 140015.; Libertini, A., S. Malavasi, P. Torricelli, and P. Franzoi (2008). Unpublished data ","Rom�n?Palacios, C., Medina, C. A., Zhan, S. H., & Barker, M. S. (2021). Animal chromosome counts reveal a similar range of chromosome numbers but with less polyploidy in animals compared to flowering plants. Journal of Evolutionary Biology, 34(8), 1333�1339. https://doi.org/10.1111/jeb.13884",NA,,
Lacerta agilis,Reptilia,NA,NA,16,NA,"Vinogradov, A.E. (1998a). Genome size and GC-percent in vertebrates as determined by flow cytometry: the triangular relationship. Cytometry 31: 100-109.","Gregory, T.R. (2025). Animal Genome Size Database. http://www.genomesize.com.",NA,NA,NA
Lagopus muta,Aves,NA,NA,NA,NA,NA,NA,NA,NA,NA
Larimichthys crocea,Actinopterygii,Acanthuriformes,Sciaenidae,24,NA,"Guo, D.-D., Liu, F., Niu, B.-L., Zhan, W., Xie, Q.-P., Zhang, Y., & Lou, B. (2022). Establishment of diploid hybrid strains derived from female Larimichthys crocea × male Larimichthys polyactis and transmission of parental mtDNA in hybrid progenies. Aquaculture, 561, 738693–738693. https://doi.org/10.1016/j.aquaculture.2022.738693",,708.47,"Chen, B., Zhou, Z., Ke, Q., Wu, Y., Bai, H., Pu, F., & Xu, P. (2019). The sequencing and de novo assembly of the Larimichthys crocea genome using PacBio and Hi-C technologies. Scientific Data, 6(1). https://doi.org/10.1038/s41597-019-0194-3",
Lates calcarifer,Actinopterygii,Perciformes,Latidae,24,NA,"Khuda-Bukhsh A.R. (1979) Chromosomes in three species of fishes, Aplocheilus panchax (Cyrinodontidae), Lates calcerifer (Percidae), and Gadusia chapra (Clupeidae). Caryologia. 32: 161-169.",,684.6,"Hardie, D.C. and P.D.N. Hebert (2004). Genome-size evolution in fishes. Canadian Journal of Fisheries and Aquatic Sciences 61: 1636-1646.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com."
Lathamus discolor,Aves,NA,NA,NA,NA,NA,NA,NA,NA,NA
Laticauda laticaudata,Reptilia,Squamata,Elapidae,20,NA,"Olmo E., Signorino G.G. (2005) ChromoRep: A reptiles chromosomes database.",,NA,,
Latimeria chalumnae,Sarcopterygii,Coelacanthiformes,Latimeriidae,24,NA,"Cimino, M.C. (1974). The nuclear DNA content of diploid and triploid Poeciliopsis and other poeciliid fishes with reference to the evolution of unisexual forms. Chromosoma 47: 297-307.",,NA,,
